ENSEMBL_ID	Associated.Gene.Name	iTreg	naive	nTreg	Th1	Th17	Th2
ENSMUSG00000096353	Gm24957	NE	NE	NE	NE	NE	NE
ENSMUSG00000096354	Gm8178	NE	NE	NE	NE	LE	NE
ENSMUSG00000096355	Ighv8-4	NE	NE	NE	NE	NE	NE
ENSMUSG00000096356	Olfr889	NE	NE	NE	NE	LE	NE
ENSMUSG00000096357	Gm25709	NE	HE	UND	LE	UND	LE
ENSMUSG00000096358	n-R5s131	NE	UND	NE	NE	NE	NE
ENSMUSG00000096359	Gm25710	NE	NE	NE	NE	NE	NE
ENSMUSG00000096360	Mir466b-7	NE	UND	NE	NE	NE	NE
ENSMUSG00000096361	Gm5814	HE	HE	LE	UND	HE	UND
ENSMUSG00000096362	Rps12-ps21	NE	UND	NE	LE	UND	LE
ENSMUSG00000096363	Gm12621	NE	LE	NE	LE	LE	NE
ENSMUSG00000096364	Gpr45	NE	LE	LE	NE	LE	LE
ENSMUSG00000096365	Olfr1463	NE	NE	NE	NE	LE	NE
ENSMUSG00000096366	Gm13240	NE	UND	NE	LE	LE	NE
ENSMUSG00000096367	n-R5s107	NE	NE	NE	NE	NE	NE
ENSMUSG00000096368	Olfr1328	NE	NE	NE	NE	NE	NE
ENSMUSG00000096369	Gm21823	NE	NE	NE	NE	NE	NE
ENSMUSG00000096370	Gm21992	UND	UND	UND	UND	UND	UND
ENSMUSG00000096371	Gm22367	NE	NE	NE	NE	NE	NE
ENSMUSG00000096372	Gm8138	NE	NE	NE	NE	NE	NE
ENSMUSG00000096373	Vmn2r31	NE	NE	NE	NE	LE	NE
ENSMUSG00000096374	Gm6664	NE	NE	NE	NE	NE	NE
ENSMUSG00000096375	Gm7094	UND	NE	UND	UND	HE	UND
ENSMUSG00000096376	Gm14590	NE	NE	NE	NE	NE	NE
ENSMUSG00000096377	Mir5123	NE	HE	HE	NE	HE	NE
ENSMUSG00000096378	Gm22366	NE	LE	UND	UND	UND	UND
ENSMUSG00000096379	Gm21732	NE	NE	NE	NE	NE	NE
ENSMUSG00000096380	Gm19668	NE	UND	NE	NE	NE	NE
ENSMUSG00000096381	Gm25354	NE	NE	NE	NE	NE	NE
ENSMUSG00000096382	NA	NE	NE	NE	NE	LE	NE
ENSMUSG00000096383	Gm25353	NE	LE	NE	NE	LE	NE
ENSMUSG00000096384	Gm25352	NE	NE	NE	NE	NE	NE
ENSMUSG00000096385	Gm11168	HE	UND	UND	NE	UND	LE
ENSMUSG00000096386	Vmn1r100	NE	NE	NE	NE	NE	NE
ENSMUSG00000096387	Gm26488	NE	NE	NE	NE	NE	NE
ENSMUSG00000096388	Gm25355	NE	LE	NE	NE	NE	NE
ENSMUSG00000096389	Gm25356	NE	UND	NE	NE	UND	NE
ENSMUSG00000096390	Gm23687	NE	NE	NE	NE	NE	NE
ENSMUSG00000096391	Gm23686	NE	HE	NE	NE	UND	NE
ENSMUSG00000096392	Gm23688	NE	NE	NE	NE	NE	NE
ENSMUSG00000096393	Gm590	NE	HE	UND	UND	UND	HE
ENSMUSG00000096394	Gm21804	NE	NE	NE	NE	NE	NE
ENSMUSG00000096395	Gm21387	NE	NE	NE	NE	NE	NE
ENSMUSG00000096396	Ighd5-2	NE	NE	NE	NE	NE	NE
ENSMUSG00000096397	Trav17	HE	HE	HE	HE	HE	HE
ENSMUSG00000096398	Gm23689	NE	NE	NE	NE	NE	NE
ENSMUSG00000096399	Vmn2r35	NE	NE	NE	NE	LE	NE
ENSMUSG00000096400	Gm6098	NE	UND	UND	NE	HE	LE
ENSMUSG00000096401	Gm21811	LE	HE	UND	HE	HE	HE
